cid,title,cat,cat_path,page,langs,n_langs
ENPc3g5o6,"Seoul, Singing with the World",문화관광,Culture > Cultural > Facilities,2,KOPc3g5o6:한국어|ENPc3g5o6:영어|JPPc3g5o6:일본어|CNPc3g5o6:중국어 간체|TCPc3g5o6:중국어 번체|RUPc3g5o6:러시아어,6
ENPzy336c,KAWS: FRIENDS AND NEIGHBORS,문화관광,Culture > Cultural > Facilities,2,KOPzy336c:한국어|ENPzy336c:영어|JPPzy336c:일본어|CNPzy336c:중국어 간체|TCPzy336c:중국어 번체|RUPzy336c:러시아어,6
ENPgdf9ry,FineCharacter 2026,문화관광,Culture > Cultural > Facilities,2,KOPgdf9ry:한국어|ENPgdf9ry:영어|JPPgdf9ry:일본어|CNPgdf9ry:중국어 간체|TCPgdf9ry:중국어 번체|RUPgdf9ry:러시아어,6
ENP5pejiz,63 Sky Picnic,문화관광,Culture > Landmarks,2,KOP5pejiz:한국어|ENP5pejiz:영어|JPP5pejiz:일본어|CNP5pejiz:중국어 간체|TCP5pejiz:중국어 번체|RUP5pejiz:러시아어|MLP5pejiz:말레이어,7
ENPpm3s33,2026 International Sleep &amp; Healing Expo | Sleep &amp; Wellness Fest,문화관광,Culture > Cultural > Facilities,2,KOPpm3s33:한국어|ENPpm3s33:영어|JPPpm3s33:일본어|CNPpm3s33:중국어 간체|TCPpm3s33:중국어 번체|RUPpm3s33:러시아어,6
ENPgeb6on,Seoul Museum of Photography 《Martin Parr : We Are Martin Parr》,문화관광,Culture > Cultural > Facilities,2,KOPgeb6on:한국어|ENPgeb6on:영어|JPPgeb6on:일본어|CNPgeb6on:중국어 간체|TCPgeb6on:중국어 번체|RUPgeb6on:러시아어,6
ENPy2nopb,Luggage Lounge Anguk Locker,문화관광,Culture > Cultural > Districts,2,KOPy2nopb:한국어|ENPy2nopb:영어|JPPy2nopb:일본어|CNPy2nopb:중국어 간체|TCPy2nopb:중국어 번체|RUPy2nopb:러시아어|MLPy2nopb:말레이어,7
ENPz20943,"From One Book to the World, K-Content: K-BOOK to the WORLD",문화관광,Culture > Cultural > Facilities,2,KOPz20943:한국어|ENPz20943:영어|JPPz20943:일본어|CNPz20943:중국어 간체|TCPz20943:중국어 번체|RUPz20943:러시아어,6
ENPdr8hdy,2026 Kong Sung-hwan Solo Exhibition &lt;Ripple&gt;,문화관광,Culture > Cultural > Facilities,2,KOPdr8hdy:한국어|ENPdr8hdy:영어|JPPdr8hdy:일본어|CNPdr8hdy:중국어 간체|TCPdr8hdy:중국어 번체|RUPdr8hdy:러시아어,6
ENPrxkd9g,GALLERY J. ONE,문화관광,Culture > Cultural > Facilities > Art > Museums/Galleries,2,KOPrxkd9g:한국어|ENPrxkd9g:영어|JPPrxkd9g:일본어|CNPrxkd9g:중국어 간체|TCPrxkd9g:중국어 번체|RUPrxkd9g:러시아어|MLPrxkd9g:말레이어,7
ENP1wimla,"BEAUTY, TRANSLATED",문화관광,Culture > Cultural > Facilities,2,KOP1wimla:한국어|ENP1wimla:영어|JPP1wimla:일본어|CNP1wimla:중국어 간체|TCP1wimla:중국어 번체|RUP1wimla:러시아어,6
ENPhmlx6l,Baekbin Railroad Crossing,문화관광,Culture > Cultural > Districts,2,KOPhmlx6l:한국어|ENPhmlx6l:영어|JPPhmlx6l:일본어|CNPhmlx6l:중국어 간체|TCPhmlx6l:중국어 번체|RUPhmlx6l:러시아어|MLPhmlx6l:말레이어,7
ENPij99b4,Full of Colors : Regions Shaping K,문화관광,Culture > Cultural > Facilities,2,KOPij99b4:한국어|ENPij99b4:영어|JPPij99b4:일본어|CNPij99b4:중국어 간체|TCPij99b4:중국어 번체|RUPij99b4:러시아어,6
ENPqbvlpa,COMPANY World Affair,문화관광,Culture > Cultural > Facilities,2,KOPqbvlpa:한국어|ENPqbvlpa:영어|JPPqbvlpa:일본어|CNPqbvlpa:중국어 간체|TCPqbvlpa:중국어 번체|RUPqbvlpa:러시아어,6
ENPlhr9s8,"You, As You Are - SimLee Da Eun",문화관광,Culture > Cultural > Facilities,2,KOPlhr9s8:한국어|ENPlhr9s8:영어|JPPlhr9s8:일본어|CNPlhr9s8:중국어 간체|TCPlhr9s8:중국어 번체|RUPlhr9s8:러시아어,6
ENP4u05qa,Seongbuk Young Art Space,문화관광,Culture > Cultural > Facilities,2,KOP4u05qa:한국어|ENP4u05qa:영어|JPP4u05qa:일본어|CNP4u05qa:중국어 간체|TCP4u05qa:중국어 번체|RUP4u05qa:러시아어|MLP4u05qa:말레이어,7
ENPj1ro8q,Haechi Madang (Gwanghwamun Square),문화관광,Culture,2,KOPj1ro8q:한국어|ENPj1ro8q:영어|JPPj1ro8q:일본어|CNPj1ro8q:중국어 간체|TCPj1ro8q:중국어 번체|RUPj1ro8q:러시아어|MLPj1ro8q:말레이어,7
ENPwd3ohy,Atelier Gwanghwa,문화관광,Culture,2,KOPwd3ohy:한국어|ENPwd3ohy:영어|JPPwd3ohy:일본어|CNPwd3ohy:중국어 간체|TCPwd3ohy:중국어 번체|RUPwd3ohy:러시아어|MLPwd3ohy:말레이어,7
ENPt1364i,The Garden of Simwon : Ink and Silence,문화관광,Culture > Cultural > Facilities,2,KOPt1364i:한국어|ENPt1364i:영어|JPPt1364i:일본어|CNPt1364i:중국어 간체|TCPt1364i:중국어 번체|RUPt1364i:러시아어,6
ENPqosaz0,"Summer Table : Six Hands, One Table",문화관광,Culture > Cultural > Facilities,3,KOPqosaz0:한국어|ENPqosaz0:영어|JPPqosaz0:일본어|CNPqosaz0:중국어 간체|TCPqosaz0:중국어 번체|RUPqosaz0:러시아어,6
ENPhs2wlq,ICON: The Chair Series,문화관광,Culture > Cultural > Facilities,3,KOPhs2wlq:한국어|ENPhs2wlq:영어|JPPhs2wlq:일본어|CNPhs2wlq:중국어 간체|TCPhs2wlq:중국어 번체|RUPhs2wlq:러시아어,6
ENP0e0w4k,Samilro Changgo Theater,문화관광,Culture > Other > Cultural > Destinations,3,KOP0e0w4k:한국어|ENP0e0w4k:영어|JPP0e0w4k:일본어|CNP0e0w4k:중국어 간체|TCP0e0w4k:중국어 번체|RUP0e0w4k:러시아어|MLP0e0w4k:말레이어,7
ENPx0x7wx,BANKSY: Still Here,문화관광,Culture > Cultural > Facilities,3,KOPx0x7wx:한국어|ENPx0x7wx:영어|JPPx0x7wx:일본어|CNPx0x7wx:중국어 간체|TCPx0x7wx:중국어 번체|RUPx0x7wx:러시아어,6
ENPm8j6gm,Kwon Byungjun: I Embrace You,문화관광,Culture > Cultural > Facilities,3,KOPm8j6gm:한국어|ENPm8j6gm:영어|JPPm8j6gm:일본어|CNPm8j6gm:중국어 간체|TCPm8j6gm:중국어 번체|RUPm8j6gm:러시아어,6
ENPwdbw7j,Everything Dance Hall,문화관광,Culture > Cultural > Facilities,3,KOPwdbw7j:한국어|ENPwdbw7j:영어,2
ENP6y9jr9,IBK Moduda Family Concert 2026,문화관광,Culture > Cultural > Facilities,3,KOP6y9jr9:한국어|ENP6y9jr9:영어|JPP6y9jr9:일본어|CNP6y9jr9:중국어 간체|TCP6y9jr9:중국어 번체|RUP6y9jr9:러시아어,6
ENPnw33eg,club Seolhwa,문화관광,Culture > Cultural > Facilities,3,KOPnw33eg:한국어|ENPnw33eg:영어|JPPnw33eg:일본어|CNPnw33eg:중국어 간체|TCPnw33eg:중국어 번체|RUPnw33eg:러시아어,6
ENP52w7m1,Drawing Room,문화관광,Culture > Cultural > Facilities > Art > Museums/Galleries,3,KOP52w7m1:한국어|ENP52w7m1:영어|JPP52w7m1:일본어|CNP52w7m1:중국어 간체|TCP52w7m1:중국어 번체|RUP52w7m1:러시아어|MLP52w7m1:말레이어,7
ENPsj8gga,Joseon Yangban Hospitality Culture Experience Performance &#039;Onggi Concert&#039;,문화관광,Culture > Cultural > Facilities,3,KOPsj8gga:한국어|ENPsj8gga:영어|JPPsj8gga:일본어|CNPsj8gga:중국어 간체|TCPsj8gga:중국어 번체|RUPsj8gga:러시아어,6
ENPhxlwke,2026 The 2nd Garak Table Concert,문화관광,Culture > Cultural > Facilities,3,KOPhxlwke:한국어|ENPhxlwke:영어|JPPhxlwke:일본어|CNPhxlwke:중국어 간체|TCPhxlwke:중국어 번체|RUPhxlwke:러시아어,6
ENPxe6hpp,Sogang University,문화관광,Culture > Landmarks,3,KOPxe6hpp:한국어|ENPxe6hpp:영어|JPPxe6hpp:일본어|CNPxe6hpp:중국어 간체|TCPxe6hpp:중국어 번체|RUPxe6hpp:러시아어|MLPxe6hpp:말레이어,7
ENPqyzmh2,LuggageQ Hongdae Branch,문화관광,Culture > Cultural > Districts,3,KOPqyzmh2:한국어|ENPqyzmh2:영어|JPPqyzmh2:일본어|CNPqyzmh2:중국어 간체|TCPqyzmh2:중국어 번체|RUPqyzmh2:러시아어|MLPqyzmh2:말레이어,7
ENP60cztf,LuggageQ Seoul Station Branch,문화관광,Culture > Cultural > Districts,3,KOP60cztf:한국어|ENP60cztf:영어|JPP60cztf:일본어|CNP60cztf:중국어 간체|TCP60cztf:중국어 번체|RUP60cztf:러시아어|MLP60cztf:말레이어,7
ENPnkfasx,Yeonhui Permanent Performance 〈Yeonhui Panpan〉,문화관광,Culture > Cultural > Facilities,3,KOPnkfasx:한국어|ENPnkfasx:영어|JPPnkfasx:일본어|CNPnkfasx:중국어 간체|TCPnkfasx:중국어 번체|RUPnkfasx:러시아어,6
ENPy1hneb,What We Want to Talk About When We Talk About Haruki,문화관광,Culture > Cultural > Facilities,3,KOPy1hneb:한국어|ENPy1hneb:영어|JPPy1hneb:일본어|CNPy1hneb:중국어 간체|TCPy1hneb:중국어 번체|RUPy1hneb:러시아어,6
ENP07kl3f,National Geographic Special Exhibition — OCEAN: The Greatest Record,문화관광,Culture > Cultural > Facilities,3,KOP07kl3f:한국어|ENP07kl3f:영어|JPP07kl3f:일본어|CNP07kl3f:중국어 간체|TCP07kl3f:중국어 번체|RUP07kl3f:러시아어,6
ENPw7lepl,Fernando Botero: The Aesthetics of Form,문화관광,Culture > Cultural > Facilities,3,KOPw7lepl:한국어|ENPw7lepl:영어|JPPw7lepl:일본어|CNPw7lepl:중국어 간체|TCPw7lepl:중국어 번체|RUPw7lepl:러시아어,6
ENP4q4n0f,"Beyond Impressionism: Renoir, Degas, Van Gogh, Matisse, Picasso",문화관광,Culture > Cultural > Facilities,3,KOP4q4n0f:한국어|ENP4q4n0f:영어|JPP4q4n0f:일본어|CNP4q4n0f:중국어 간체|TCP4q4n0f:중국어 번체|RUP4q4n0f:러시아어,6
ENPny8ty6,"Goya, the Spanish Master : The Sleep of Reason Produces Monsters Exhibition",문화관광,Culture > Cultural > Facilities,3,KOPny8ty6:한국어|ENPny8ty6:영어|JPPny8ty6:일본어|CNPny8ty6:중국어 간체|TCPny8ty6:중국어 번체|RUPny8ty6:러시아어,6
ENPkkmg5t,Seo-Seoul Museum of Art Inaugural Special Exhibition 《Our Time Begins Here》,문화관광,Culture > Cultural > Facilities,4,KOPkkmg5t:한국어|ENPkkmg5t:영어|JPPkkmg5t:일본어|CNPkkmg5t:중국어 간체|TCPkkmg5t:중국어 번체|RUPkkmg5t:러시아어,6
ENPu2zkva,Seoul Museum of Art Nanji Residency 20th Anniversary Exhibition 《AMOR EX MACHINA》,문화관광,Culture > Cultural > Facilities,4,KOPu2zkva:한국어|ENPu2zkva:영어|JPPu2zkva:일본어|CNPu2zkva:중국어 간체|TCPu2zkva:중국어 번체|RUPu2zkva:러시아어,6
ENPmvjbam,Seoul City Wall Museum,문화관광,Culture > Cultural > Facilities > Museums,4,KOPmvjbam:한국어|ENPmvjbam:영어|JPPmvjbam:일본어|CNPmvjbam:중국어 간체|TCPmvjbam:중국어 번체|RUPmvjbam:러시아어|MLPmvjbam:말레이어,7
ENPipn2pj,Dongdaemun History Museum,문화관광,Culture > Cultural > Facilities > Museums,4,KOPipn2pj:한국어|ENPipn2pj:영어|JPPipn2pj:일본어|CNPipn2pj:중국어 간체|TCPipn2pj:중국어 번체|RUPipn2pj:러시아어|MLPipn2pj:말레이어,7
ENPe4d3g1,Dongdaemun Stadium Memorial,문화관광,Culture > Cultural > Facilities > Museums,4,KOPe4d3g1:한국어|ENPe4d3g1:영어|JPPe4d3g1:일본어|CNPe4d3g1:중국어 간체|TCPe4d3g1:중국어 번체|RUPe4d3g1:러시아어|MLPe4d3g1:말레이어,7
ENP71zsbw,Samgak G7: The Place of Beginning,문화관광,Culture > Cultural > Facilities,4,KOP71zsbw:한국어|ENP71zsbw:영어|JPP71zsbw:일본어|CNP71zsbw:중국어 간체|TCP71zsbw:중국어 번체|RUP71zsbw:러시아어,6
ENPiibcte,"Rembrandt to Goya, Master of European Painting from the Toledo Museum of Art",문화관광,Culture > Cultural > Facilities,4,KOPiibcte:한국어|ENPiibcte:영어|JPPiibcte:일본어|CNPiibcte:중국어 간체|TCPiibcte:중국어 번체|RUPiibcte:러시아어,6
ENPhax5cj,Art Cube 2R2,문화관광,Culture > Cultural > Facilities > Others > Cultural > Facilities,4,KOPhax5cj:한국어|ENPhax5cj:영어|JPPhax5cj:일본어|CNPhax5cj:중국어 간체|TCPhax5cj:중국어 번체|RUPhax5cj:러시아어|MLPhax5cj:말레이어,7
ENPhd2f4q,Dilkusha,문화관광,Culture > Cultural > Facilities > Others > Cultural > Facilities,4,KOPhd2f4q:한국어|ENPhd2f4q:영어|JPPhd2f4q:일본어|CNPhd2f4q:중국어 간체|TCPhd2f4q:중국어 번체|RUPhd2f4q:러시아어|MLPhd2f4q:말레이어,7
ENPpip0hk,Yongsan Cultural Foundation Complex Cultural Space,문화관광,Culture > Cultural > Districts,4,KOPpip0hk:한국어|ENPpip0hk:영어|JPPpip0hk:일본어|CNPpip0hk:중국어 간체|TCPpip0hk:중국어 번체|RUPpip0hk:러시아어|MLPpip0hk:말레이어,7
